ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D114H,ENGLISHSYSSUM1.TXT,0.37186,0.43023,0.39892,1
ROUGE-1,D113H,ENGLISHSYSSUM1.TXT,0.46445,0.392,0.42516,1
ROUGE-1,D080A,ENGLISHSYSSUM1.TXT,0.42157,0.40376,0.41247,1
ROUGE-1,D108G,ENGLISHSYSSUM1.TXT,0.3785,0.42632,0.40099,1
ROUGE-1,D081A,ENGLISHSYSSUM1.TXT,0.50481,0.46875,0.48611,1
ROUGE-1,D094C,ENGLISHSYSSUM1.TXT,0.54082,0.38828,0.45203,1
ROUGE-1,D082A,ENGLISHSYSSUM1.TXT,0.39109,0.37441,0.38257,1
ROUGE-1,D083A,ENGLISHSYSSUM1.TXT,0.34434,0.44512,0.3883,1
ROUGE-1,D086D,ENGLISHSYSSUM1.TXT,0.41401,0.27542,0.33079,1
ROUGE-1,D101E,ENGLISHSYSSUM1.TXT,0.47253,0.2622,0.33725,1
ROUGE-1,D116I,ENGLISHSYSSUM1.TXT,0.4619,0.44091,0.45116,1
,,,,,,
,,,0.433261818,0.391581818,0.405977273,
