ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D156,ENGLISHSYSSUM1.TXT,0.0303,0.04225,0.03529,1
ROUGE-2,D200,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D135,ENGLISHSYSSUM1.TXT,0.03704,0.07273,0.04908,1
ROUGE-2,D132,ENGLISHSYSSUM1.TXT,0.0202,0.02326,0.02162,1
ROUGE-2,D188,ENGLISHSYSSUM1.TXT,0.04902,0.05556,0.05208,1
ROUGE-2,D199,ENGLISHSYSSUM1.TXT,0.04,0.03774,0.03883,1
ROUGE-2,D151,ENGLISHSYSSUM1.TXT,0.0404,0.05128,0.0452,1
ROUGE-2,D193,ENGLISHSYSSUM1.TXT,0.03191,0.0303,0.03109,1
ROUGE-2,D139,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D136,ENGLISHSYSSUM1.TXT,0.08411,0.08911,0.08654,1
,,,,,,
,,,0.033298,0.040223,0.035973,
