ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D156,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D200,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D135,ENGLISHSYSSUM1.TXT,0.04505,0.09091,0.06024,1
ROUGE-2,D132,ENGLISHSYSSUM1.TXT,0.0404,0.04651,0.04324,1
ROUGE-2,D188,ENGLISHSYSSUM1.TXT,0.08182,0.1,0.09,1
ROUGE-2,D199,ENGLISHSYSSUM1.TXT,0.07921,0.07547,0.07729,1
ROUGE-2,D151,ENGLISHSYSSUM1.TXT,0.01064,0.01282,0.01163,1
ROUGE-2,D193,ENGLISHSYSSUM1.TXT,0.02679,0.0303,0.02844,1
ROUGE-2,D139,ENGLISHSYSSUM1.TXT,0.05714,0.07407,0.06452,1
ROUGE-2,D136,ENGLISHSYSSUM1.TXT,0.07692,0.07921,0.07805,1
,,,,,,
,,,0.041797,0.050929,0.045341,
