ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D41G,ENGLISHSYSSUM1.TXT,0.00893,0.01149,0.01005,1
ROUGE-2,D53I,ENGLISHSYSSUM1.TXT,0.08247,0.05263,0.06426,1
ROUGE-2,D31F,ENGLISHSYSSUM1.TXT,0.07692,0.11594,0.09249,1
ROUGE-2,D43H,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D57K,ENGLISHSYSSUM1.TXT,0.02941,0.04839,0.03659,1
ROUGE-2,D45H,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D59K,ENGLISHSYSSUM1.TXT,0.03,0.02113,0.02479,1
ROUGE-2,D24D,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D14C,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D12B,ENGLISHSYSSUM1.TXT,0.01031,0.01639,0.01266,1
ROUGE-2,D28E,ENGLISHSYSSUM1.TXT,0.04902,0.07463,0.05917,1
ROUGE-2,D04A,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D08B,ENGLISHSYSSUM1.TXT,0.04124,0.05263,0.04624,1
ROUGE-2,D06A,ENGLISHSYSSUM1.TXT,0.01031,0.01299,0.01149,1
ROUGE-2,D50I,ENGLISHSYSSUM1.TXT,0.0202,0.02597,0.02273,1
ROUGE-2,D54I,ENGLISHSYSSUM1.TXT,0.0102,0.01266,0.0113,1
ROUGE-2,D56K,ENGLISHSYSSUM1.TXT,0.03125,0.03,0.03061,1
ROUGE-2,D30E,ENGLISHSYSSUM1.TXT,0.0396,0.00524,0.00926,1
ROUGE-2,D44H,ENGLISHSYSSUM1.TXT,0.01064,0.00885,0.00966,1
ROUGE-2,D32F,ENGLISHSYSSUM1.TXT,0.08333,0.04211,0.05594,1
ROUGE-2,D22D,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D34F,ENGLISHSYSSUM1.TXT,0.02128,0.02899,0.02454,1
ROUGE-2,D11B,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D37G,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D27E,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D13C,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D39G,ENGLISHSYSSUM1.TXT,0.01075,0.01149,0.01111,1
ROUGE-2,D15C,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D05A,ENGLISHSYSSUM1.TXT,0.0099,0.01493,0.0119,1
ROUGE-2,D19D,ENGLISHSYSSUM1.TXT,0.0098,0.01266,0.01105,1
,,,,,,
,,,0.019518667,0.019970667,0.018528,
