ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D156,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D200,ENGLISHSYSSUM1.TXT,0.0102,0.01562,0.01235,1
ROUGE-2,D135,ENGLISHSYSSUM1.TXT,0.01835,0.03636,0.02439,1
ROUGE-2,D132,ENGLISHSYSSUM1.TXT,0.14141,0.16279,0.15135,1
ROUGE-2,D188,ENGLISHSYSSUM1.TXT,0.14286,0.17778,0.15842,1
ROUGE-2,D199,ENGLISHSYSSUM1.TXT,0.04762,0.04717,0.04739,1
ROUGE-2,D151,ENGLISHSYSSUM1.TXT,0.03488,0.03846,0.03659,1
ROUGE-2,D193,ENGLISHSYSSUM1.TXT,0.04717,0.05051,0.04878,1
ROUGE-2,D139,ENGLISHSYSSUM1.TXT,0.04902,0.06173,0.05464,1
ROUGE-2,D136,ENGLISHSYSSUM1.TXT,0.0303,0.0297,0.03,1
,,,,,,
,,,0.052181,0.062012,0.056391,
