ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D156,ENGLISHSYSSUM1.TXT,0.15126,0.24658,0.1875,1
ROUGE-1,D200,ENGLISHSYSSUM1.TXT,0.09474,0.13636,0.1118,1
ROUGE-1,D135,ENGLISHSYSSUM1.TXT,0.17213,0.36842,0.23464,1
ROUGE-1,D132,ENGLISHSYSSUM1.TXT,0.24,0.27273,0.25532,1
ROUGE-1,D188,ENGLISHSYSSUM1.TXT,0.29907,0.34783,0.32161,1
ROUGE-1,D199,ENGLISHSYSSUM1.TXT,0.26364,0.26852,0.26606,1
ROUGE-1,D151,ENGLISHSYSSUM1.TXT,0.21698,0.2875,0.24731,1
ROUGE-1,D193,ENGLISHSYSSUM1.TXT,0.27966,0.32673,0.30137,1
ROUGE-1,D139,ENGLISHSYSSUM1.TXT,0.26271,0.37349,0.30846,1
ROUGE-1,D136,ENGLISHSYSSUM1.TXT,0.40367,0.42718,0.41509,1
,,,,,,
,,,0.238386,0.305534,0.264916,
